CDTTime,beachEColiValue,jday,beachSc,beachTurbidityBeach,beachWaterTemp
6/10/10 11:25,10.9,161,386,4.33,16.7
6/14/10 11:00,22.6,165,341,4.01,19
6/15/10 9:55,1119.9,166,233,5.68,17
6/17/10 9:45,1299.7,168,594,8.92,18.2
6/21/10 11:10,45.7,172,162,5.65,17.9
6/22/10 11:35,488.4,173,199,5.99,19.2
6/28/10 9:50,1,179,414,3.85,17.5
6/29/10 9:45,488.4,180,379,10.15,17.5
6/30/10 9:30,85.7,181,381,6.48,18.7
7/7/10 11:55,273.3,188,338,5.41,15.5
7/8/10 9:00,1986.3,189,489,4.92,13.6
7/12/10 9:10,435.2,193,443,7.63,13.4
7/13/10 9:30,2419.6,194,371,9.37,16.8
7/14/10 9:10,1732.9,195,557,3.78,17.9
7/19/10 9:10,227.9,200,370,4.81,15
7/20/10 9:10,2419.6,201,338,42.3,19.4
7/22/10 8:50,20.1,203,345,2.27,19.2
7/26/10 9:10,241.5,207,960,3.8,21.6
7/27/10 8:55,344.1,208,360,3.41,21.8
7/28/10 9:10,387.3,209,342,6.39,28.9
7/29/10 9:20,125,210,348,5.58,21.8
8/2/10 9:05,186,214,419,6.09,23.4
8/3/10 8:55,193.7,215,366,6.29,16.8
8/4/10 8:50,193.5,216,334,9.92,19
8/5/10 8:50,44.3,217,362,2.33,18.2
8/12/10 6:55,1119.9,224,539,4.04,23.8
8/16/10 6:55,73.3,228,330,1.59,18.3
8/17/10 6:45,50.4,229,349,1.62,15.8
8/18/10 6:55,62.4,230,369,3.31,15.4
8/19/10 8:50,2419.6,231,361,10.81,17.3
8/23/10 6:50,172.3,235,372,9.77,19.9
8/24/10 6:40,104.6,236,349,4.02,21.6
8/25/10 6:45,155.3,237,312,3.83,19.6
8/26/10 6:30,131.7,238,356,4.85,19.7
6/1/11 8:30,76.7,152,604,4.41,13.5
6/3/11 9:00,167,154,247,4.63,13.8
6/7/11 12:20,86,158,458,8.46,17.7
6/8/11 8:35,8.6,159,220,4.42,13
6/13/11 8:25,13.1,164,265,1.22,12.3
6/14/11 8:30,35,165,281.5,0.86,13.5
6/15/11 11:35,77.6,166,322,6.7,14.2
6/16/11 10:15,365.4,167,349,8.92,14.4
6/20/11 8:30,214.2,171,337.4,6.13,16.4
6/21/11 8:25,154.1,172,261.3,1.55,18.2
6/23/11 11:35,1203.3,174,441,42.9,17.7
6/26/11 3:00,38.4,177,552,3.55,22.2
6/28/11 8:35,73.8,179,244.1,4.86,15.2
6/29/11 11:30,16.1,180,487,9,18.9
7/6/11 8:45,31.1,187,234.7,0.59,15.4
7/7/11 8:15,5.1,188,263,1.41,18.2
7/8/11 15:00,10.9,189,337,7.66,23.4
7/11/11 9:30,2419.6,192,269,10.71,14.1
7/12/11 9:25,53.8,193,216.8,1.29,12.5
7/13/11 8:30,43.4,194,208.8,5.61,15.2
7/14/11 9:50,98.5,195,277,4.35,17.5
7/18/11 9:15,167,199,290.7,5.85,17.4
7/19/11 9:00,387.3,200,242.4,0.65,19.4
7/20/11 8:30,727,201,319.2,1.82,19.2
7/21/11 10:20,20.9,202,238.1,2.23,16.5
7/25/11 8:50,461.1,206,227,2.03,17.6
7/26/11 9:15,15.5,207,279.1,0.95,17.2
7/27/11 13:30,2419.6,208,318.4,12.5,19.2
7/28/11 9:05,1299.7,209,337.2,5.52,18.6
8/1/11 9:30,98.6,213,358.6,2.2,19
8/2/11 13:00,57.3,214,325.5,1.24,18.3
8/3/11 8:10,218.7,215,325.2,5.04,19.5
8/8/11 14:35,89.2,220,441.5,1.19,26
8/9/11 9:00,172.2,221,406.9,1.5,21.9
8/10/11 8:50,2419.6,222,302.9,1.01,21.1
8/11/11 9:40,201.4,223,613,1.84,21.4
8/15/11 13:40,73.8,227,466.7,5.51,25.4
8/16/11 9:15,224.7,228,318.9,0.77,21.9
8/17/11 9:00,150,229,316.3,4.42,21.5
8/21/11 13:30,167.4,233,297,1.8,23.3
8/22/11 8:40,2419.6,234,0,1.79,19.6
8/27/11 11:25,2419.6,239,284,45.8,15.6
