pred,truth,critical specificity,,fitted,actual,exceedance,non-exceednace,spec
1.672740281,1.774516966,0.725490196,,1.032402857,0,0,1,0.019607843
1.237059951,1.59439255,0.235294118,,1.035126241,0,0,1,0.039215686
1.592726963,1.72427587,0.568627451,,1.090663423,0.612783857,0,1,0.058823529
1.545727678,1.812913357,0.549019608,,1.097340687,0,0,1,0.078431373
1.592225968,0.491361694,0.568627451,,1.143832086,0.707570176,0,1,0.098039216
1.50021229,1.206825876,0.490196078,,1.146410161,0.301029996,0,1,0.117647059
1.395574638,1.238046103,0.352941176,,1.154597057,0.301029996,0,1,0.137254902
1.103147474,0,0.098039216,,1.163129111,0.477121255,0,1,0.156862745
1.954768248,1.588831726,0.960784314,,1.217454987,0.799340549,0,1,0.176470588
1.631506541,1.675778342,0.62745098,,1.220934694,0.612783857,0,1,0.196078431
1.359774883,1.127104798,0.294117647,,1.233758142,0.612783857,0,1,0.215686275
2.009762082,2.058805487,0.960784314,,1.239627531,0.707570176,0,1,0.235294118
1.418796167,0.986771734,0.352941176,,1.292672673,0.991226076,0,1,0.254901961
2.171526187,0.716003344,1,,1.299151365,0.301029996,0,1,0.274509804
1.309985096,2.314709693,0.294117647,,1.377231699,1.334453751,0,1,0.294117647
,,,,1.381972925,1.025305865,0,1,0.31372549
,,,,1.38968814,1.271841607,0,1,0.333333333
,,,,1.420568868,1.193124598,0,1,0.352941176
,,,,1.420767883,1.120573931,0,1,0.37254902
,,,,1.428147482,1.190331698,0,1,0.392156863
,,,,1.428264074,1.320146286,0,1,0.411764706
,,,,1.433332855,1.394451681,0,1,0.431372549
,,,,1.462282058,0.875061263,0,1,0.450980392
,,,,1.467041573,1.037426498,0,1,0.470588235
,,,,1.51342771,1.376576957,0,1,0.490196078
,,,,1.518040565,1.465382851,0,1,0.509803922
,,,,1.543632545,1.434568904,0,1,0.529411765
,,,,1.549901994,1.907411361,0,1,0.549019608
,,,,1.594787515,1.227886705,0,1,0.568627451
,,,,1.59827127,1.537819095,0,1,0.588235294
,,,,1.605967391,1.59439255,0,1,0.607843137
,,,,1.637345243,1.600972896,0,1,0.62745098
,,,,1.651107264,1.607455023,0,1,0.647058824
,,,,1.66118452,1.784617293,0,1,0.666666667
,,,,1.666789572,1.779596491,0,1,0.68627451
,,,,1.667311539,1.489958479,0,1,0.705882353
,,,,1.696323151,1.555094449,0,1,0.725490196
,,,,1.701555787,2.45909079,1,0,0.725490196
,,,,1.727138212,1.309630167,0,1,0.745098039
,,,,1.729966251,2.061829307,0,1,0.764705882
,,,,1.738755393,1.589949601,0,1,0.784313725
,,,,1.75201995,1.729974286,0,1,0.803921569
,,,,1.771764374,2.197556213,0,1,0.823529412
,,,,1.779759152,1.439332694,0,1,0.843137255
,,,,1.800297812,2.208441356,0,1,0.862745098
,,,,1.873291663,1.797267541,0,1,0.882352941
,,,,1.91015845,2.08278537,0,1,0.901960784
,,,,1.911080989,1.682145076,0,1,0.921568627
,,,,1.941962394,1.913813852,0,1,0.941176471
,,,,2.094743137,1.769377326,0,1,0.960784314
,,,,2.105903902,1.294466226,0,1,0.980392157
,,,,2.166649052,2.495544338,1,0,0.980392157
,,,,2.169581144,3.383743576,1,0,0.980392157
,,,,2.189636524,2.561816664,1,0,0.980392157
,,,,2.217626339,2.033825694,0,1,1
,,,,2.24285922,2.454997217,1,0,1
,,,,2.316141199,3.113843119,1,0,1
,,,,2.346689196,3.238773502,1,0,1
,,,,2.410164331,2.886547123,1,0,1
,,,,2.45525108,3.298044843,1,0,1
,,,,2.472498038,3.19119942,1,0,1
,,,,2.526752724,2.420120848,1,0,1
,,,,2.610139721,3.298044843,1,0,1
,,,,,,10,51,
